Year,Household_confidence
1972,129.0
1973,128.58333333333334
1974,112.16666666666667
1975,116.16666666666667
1976,118.91666666666667
1977,115.58333333333333
1978,118.25
1979,111.66666666666667
1980,106.08333333333333
1981,108.91666666666667
1982,111.08333333333333
1983,102.58333333333333
1984,95.5
1985,99.25
1986,106.41666666666667
1987,101.83333333333333
1988,109.75
1989,111.16666666666667
1990,109.0
1991,102.0
1992,101.41666666666667
1993,97.16666666666667
1994,105.75
1995,104.58333333333333
1996,94.83333333333333
1997,102.66666666666667
1998,111.41666666666667
1999,117.08333333333333
2000,121.75
2001,117.16666666666667
2002,109.83333333333333
2003,99.83333333333333
2004,99.75
2005,94.83333333333333
2006,97.66666666666667
2007,101.5
2008,84.66666666666667
2009,87.75
2010,89.58333333333333
2011,85.91666666666667
2012,86.41666666666667
2013,83.41666666666667
2014,86.08333333333333
2015,94.08333333333333
2016,96.91666666666667
2017,102.66666666666667
2018,97.41666666666667
2019,100.41666666666667
2020,95.66666666666667
2021,97.5
2022,89.83333333333333
